date,cases,state
"2020-04-25",143,BE
"2020-04-26",136,BE
"2020-04-27",148,BE
"2020-04-28",142,BE
"2020-04-29",138,BE
"2020-04-30",123,BE
"2020-05-01",120,BE
"2020-05-02",123,BE
"2020-05-03",121,BE
"2020-05-04",124,BE
"2020-05-05",110,BE
"2020-05-06",119,BE
"2020-05-07",119,BE
"2020-05-08",112,BE
"2020-05-09",100,BE
"2020-05-10",102,BE
"2020-05-11",103,BE
"2020-05-12",95,BE
"2020-05-13",92,BE
"2020-05-14",86,BE
"2020-05-15",77,BE
"2020-05-16",73,BE
"2020-05-17",71,BE
"2020-05-18",71,BE
"2020-05-19",75,BE
"2020-05-20",64,BE
"2020-05-21",63,BE
"2020-05-22",59,BE
"2020-05-23",60,BE
"2020-05-24",59,BE
"2020-05-25",62,BE
"2020-05-26",62,BE
"2020-05-27",48,BE
"2020-05-28",55,BE
"2020-05-29",54,BE
"2020-05-30",57,BE
"2020-05-31",54,BE
"2020-06-01",55,BE
"2020-06-02",54,BE
"2020-06-03",60,BE
"2020-06-04",64,BE
"2020-06-05",65,BE
"2020-06-06",57,BE
"2020-06-07",58,BE
"2020-06-08",56,BE
"2020-06-09",51,BE
"2020-06-10",52,BE
"2020-06-11",45,BE
"2020-06-12",46,BE
"2020-06-13",48,BE
"2020-06-14",44,BE
"2020-06-15",46,BE
"2020-06-16",46,BE
"2020-06-17",48,BE
"2020-06-18",48,BE
"2020-06-19",46,BE
"2020-06-20",44,BE
"2020-06-21",45,BE
"2020-06-22",41,BE
"2020-06-23",38,BE
"2020-06-24",32,BE
"2020-06-25",34,BE
"2020-06-26",36,BE
"2020-06-27",33,BE
"2020-06-28",32,BE
"2020-06-29",34,BE
"2020-06-30",35,BE
"2020-07-01",38,BE
"2020-07-02",31,BE
"2020-07-03",36,BE
"2020-07-04",29,BE
"2020-07-05",30,BE
"2020-07-06",40,BE
"2020-07-07",35,BE
"2020-07-08",33,BE
"2020-07-09",36,BE
"2020-07-10",32,BE
"2020-07-11",27,BE
"2020-07-12",25,BE
"2020-07-13",21,BE
"2020-07-14",23,BE
"2020-07-15",22,BE
"2020-07-16",23,BE
"2020-07-17",21,BE
"2020-07-18",19,BE
"2020-07-19",10,BE
"2020-07-20",19,BE
"2020-07-21",21,BE
"2020-07-22",18,BE
"2020-07-23",22,BE
"2020-07-24",18,BE
"2020-07-25",18,BE
"2020-07-26",19,BE
"2020-07-27",18,BE
"2020-07-28",18,BE
"2020-07-29",16,BE
"2020-07-30",18,BE
"2020-07-31",16,BE
"2020-08-01",18,BE
"2020-08-02",19,BE
"2020-08-03",21,BE
"2020-08-04",17,BE
"2020-08-05",16,BE
"2020-08-06",16,BE
"2020-08-07",14,BE
"2020-08-08",14,BE
"2020-08-09",14,BE
"2020-08-10",14,BE
"2020-08-11",14,BE
"2020-08-12",17,BE
"2020-08-13",13,BE
"2020-08-14",13,BE
"2020-08-15",14,BE
"2020-08-16",14,BE
"2020-08-17",14,BE
"2020-08-18",13,BE
"2020-08-19",15,BE
"2020-08-20",15,BE
"2020-08-21",15,BE
"2020-08-22",14,BE
"2020-08-23",17,BE
"2020-08-24",20,BE
"2020-08-25",19,BE
"2020-08-26",20,BE
"2020-08-27",22,BE
